Month,Usage (kWh),ElCost,Usage (TonHr),ChCost,Usage (Lbs),StCost,tot
JAN 17,663665,46814,17482,1672,3282463,39475,87961
FEB 17,603587,42576,22230,2126,2114100,25424,70126
MAR 17,681062,48041,57860,5534,1882800,22643,76218
APR 17,647850,45698,68080,6511,1599300,19233,71442
MAY 17,671480,47365,154180,14746,1230300,14796,76907
JUN 17,652318,46013,228460,21850,1001700,12046,79909
JUL 17,700081,49382,259040,24775,869400,10455,84612
AUG 17,702425,49548,253658,24260,869400,10455,84263
SEP 17,682229,48123,224588,21480,963000,11581,81184
OCT 17,571617,40321,98513,9422,1105200,13291,63034
NOV 17,774743,54649,51160,4893,2141100,25749,85291
DEC 17,666081,46984,41450,3964,3330000,40047,90995
JAN 18,678482,47859,36650,3505,2967300,35685,87049
FEB 18,602034,42466,39740,3801,2400300,28866,75133
MAR 18,671180,47344,49680,4751,2441700,29364,81459
APR 18,630514,44475,76032,7272,1641600,19742,71489
MAY 18,613465,43273,124290,11887,1251900,15055,70215
JUN 18,615172,43393,193238,18481,952200,11451,73325
JUL 18,660303,46576,253480,24243,855900,10293,81112
AUG 18,661302,46647,202140,19333,1014300,12198,78178
SEP 18,612724,43220,171520,16404,1146600,13789,73413
OCT 18,638235,45020,138860,13281,1334700,16051,74352
NOV 18,609840,43017,57483,5498,2146500,25814,74329
DEC 18,7349971,518452,24620,2355,3005100,36139,556946
JAN 19,592889,41821,29580,2829,2793600,33596,78246
FEB 19,570862,40267,27390,2620,2895300,34819,77706
MAR 19,371497,26205,48840,4671,2302200,27686,58562
APR 19,613532,43277,116390,11132,1469700,17675,72084
MAY 19,656368,46299,118950,11376,1579500,18995,76670
JUN 19,652185,46004,247747,23695,1015200,12209,81908
JUL 19,669716,47240,269530,25778,1107900,13324,86342
AUG 19,743532,52447,288330,27576,1062000,12772,92795
SEP 19,698934,49301,223949,21419,1204200,14482,85202
OCT 19,707559,49910,133880,12804,1689300,20316,83030
NOV 19,665568,46948,69940,6689,2361600,28401,82038
DEC 19,678417,47854,36010,3444,3118500,37503,88801
