"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
DAVIS.C,20170101,2359,0.00,,51,40,,,,,,,47,43,0.02,136,,,,
DAVIS.C,20170102,2359,0.00,,51,40,,,,,,,47,44,0.04,135,,,,
DAVIS.C,20170103,2359,0.67,,50,44,,,,,,,49,43,0.04,52,,,,
DAVIS.C,20170104,1000,1.05,,54,43,,,,,,,52,45,0.26,57,,,,
DAVIS.C,20170105,800,0.16,,49,35,,,,,,,49,47,0.13,250,,,,
DAVIS.C,20170106,730,0.00,,46,33,,,,,,,45,41,0.10,216,,,,
DAVIS.C,20170107,820,0.96,,59,32,,,,,,,52,40,0.16,44,,,,
DAVIS.C,20170108,2359,1.74,,60,56,,,,,,,56,42,0.05,18,,,,
DAVIS.C,20170109,2359,1.58,,58,50,,,,,,,54,50,0.04,91,,,,
DAVIS.C,20170110,820,0.97,,57,42,,,,,,,54,50,0.00,28,,,,
DAVIS.C,20170111,820,1.73,,57,48,,,,,,,54,50,0.20,196,,,,
DAVIS.C,20170112,830,0.36,,50,44,,,,,,,52,48,0.07,83,,,,
DAVIS.C,20170113,920,0.02,,57,34,,,,,,,49,44,0.04,261,,,,
DAVIS.C,20170114,835,0.00,,53,34,,,,,,,50,43,0.08,244,,,,
DAVIS.C,20170115,1015,0.00,,51,36,,,,,,,51,43,0.05,218,,,,
DAVIS.C,20170116,830,0.00,,51,33,,,,,,,50,44,0.03,227,,,,
DAVIS.C,20170117,830,0.01,,44,34,,,,,,,46,43,0.04,86,,,,
DAVIS.C,20170118,820,0.08,,50,34,,,,,,,48,37,0.02,21,,,,
DAVIS.C,20170119,905,1.15,,57,21,,,,,,,51,44,0.31,184,,,,
DAVIS.C,20170120,830,1.00,,57,40,,,,,,,52,45,0.24,133,,,,
DAVIS.C,20170121,2359,0.08,,55,45,,,,,,,51,46,0.02,167,,,,
DAVIS.C,20170122,2359,0.95,,56,44,,,,,,,52,46,0.15,184,,,,
DAVIS.C,20170123,740,0.77,,54,33,,,,,,,51,47,0.14,246,,,,
DAVIS.C,20170124,845,0.01,,53,39,,,,,,,52,46,0.06,263,,,,
DAVIS.C,20170125,830,0.00,,55,43,,,,,,,49,48,0.03,222,,,,
DAVIS.C,20170126,830,0.00,,56,36,,,,,,,50,43,0.03,39,,,,
DAVIS.C,20170127,800,0.00,,58,39,,,,,,,50,44,0.12,300,,,,
DAVIS.C,20170128,855,0.00,,58,34,,,,,,,50,43,0.09,307,,,,
DAVIS.C,20170129,850,0.00,,60,33,,,,,,,50,42,0.08,280,,,,
DAVIS.C,20170130,810,0.00,,61,33,,,,,,,51,43,0.04,284,,,,
DAVIS.C,20170131,755,0.00,,57,34,,,,,,,50,43,0.05,244,,,,
DAVIS.C,20170201,800,0.00,,53,37,,,,,,,48,43,0.05,88,,,,
DAVIS.C,20170202,800,0.35,,62,41,,,,,,,52,45,0.04,112,,,,
DAVIS.C,20170203,800,1.73,,60,36,,,,,,,54,46,0.39,149,,,,
DAVIS.C,20170204,840,0.34,,59,50,,,,,,,55,50,0.28,109,,,,
DAVIS.C,20170205,850,0.02,,60,47,,,,,,,56,51,0.04,185,,,,
DAVIS.C,20170206,800,0.65,,58,48,,,,,,,58,50,0.05,81,,,,
DAVIS.C,20170207,815,1.28,,65,56,,,,,,,61,52,0.18,174,,,,
DAVIS.C,20170208,800,0.35,,64,56,,,,,,,63,53,0.11,79,,,,
DAVIS.C,20170209,800,0.08,,62,57,,,,,,,64,55,0.00,42,,,,
DAVIS.C,20170210,800,0.42,,65,52,,,,,,,73,56,0.07,248,,,,
DAVIS.C,20170211,835,0.00,,62,45,,,,,,,57,53,0.14,353,,,,
DAVIS.C,20170212,840,0.00,,61,45,,,,,,,56,50,0.25,360,,,,
DAVIS.C,20170213,800,0.00,,62,38,,,,,,,56,50,0.05,255,,,,
DAVIS.C,20170214,800,0.00,,68,40,,,,,,,56,50,0.10,365,,,,
DAVIS.C,20170215,800,0.00,,61,43,,,,,,,57,50,0.10,138,,,,
DAVIS.C,20170216,800,0.12,,61,50,,,,,,,60,52,0.03,313,,,,
DAVIS.C,20170217,800,0.22,,58,50,,,,,,,56,54,0.12,42,,,,
DAVIS.C,20170218,850,1.17,,60,43,,,,,,,63,53,0.23,180,,,,
DAVIS.C,20170219,845,0.95,,55,46,,,,,,,55,52,0.08,160,,,,
DAVIS.C,20170220,850,0.80,,58,51,,,,,,,60,51,0.18,55,,,,
DAVIS.C,20170221,810,0.95,,61,42,,,,,,,57,52,0.09,265,,,,
DAVIS.C,20170222,800,0.01,,58,39,,,,,,,57,50,0.09,358,,,,
DAVIS.C,20170223,800,0.00,,55,34,,,,,,,56,47,0.11,389,,,,
DAVIS.C,20170224,800,0.00,,54,32,,,,,,,55,46,0.09,341,,,,
DAVIS.C,20170225,840,0.00,,55,35,,,,,,,55,45,0.15,393,,,,
DAVIS.C,20170226,935,0.00,,60,32,,,,,,,54,46,0.11,418,,,,
DAVIS.C,20170227,800,0.00,,56,36,,,,,,,55,45,0.10,431,,,,
DAVIS.C,20170228,800,0.00,,60,34,,,,,,,57,46,0.09,433,,,,
DAVIS.C,20170301,800,0.00,,65,36,,,,,,,57,46,0.06,441,,,,
DAVIS.C,20170302,800,0.00,,68,36,,,,,,,59,46,0.21,448,,,,
DAVIS.C,20170303,800,0.00,,66,40,,,,,,,60,48,0.11,352,,,,
DAVIS.C,20170304,845,0.00,,63,43,,,,,,,59,49,0.17,363,,,,
DAVIS.C,20170305,850,0.34,,52,20,,,,,,,57,51,0.20,373,,,,
DAVIS.C,20170306,800,0.06,R,55,38,,,,,,,53,48,0.05,342,,,,
DAVIS.C,20170307,800,0.04,,58,36,,,,,,,55,47,0.07,271,,,,
DAVIS.C,20170308,800,0.00,,68,43,,,,,,,60,42,0.04,450,,,,
DAVIS.C,20170309,800,0.00,,75,45,,,,,,,63,49,0.13,425,,,,
DAVIS.C,20170310,800,0.00,,74,51,,,,,,,62,52,0.16,290,,,,
DAVIS.C,20170311,835,0.00,,76,45,,,,,,,66,55,0.12,430,,,,
DAVIS.C,20170312,830,0.00,,80,48,,,,,,,68,54,0.13,497,,,,
DAVIS.C,20170313,900,0.00,,78,45,,,,,,,68,56,0.21,499,,,,
DAVIS.C,20170314,900,0.00,,82,46,,,,,,,71,57,0.20,486,,,,
DAVIS.C,20170315,900,0.00,,73,48,,,,,,,67,58,0.10,264,,,,
DAVIS.C,20170316,800,0.00,,75,51,,,,,,,70,59,0.17,419,,,,
DAVIS.C,20170317,800,0.00,,79,47,,,,,,,72,59,0.07,475,,,,
DAVIS.C,20170318,825,0.00,,72,51,,,,,,,67,60,0.27,235,,,,
DAVIS.C,20170319,820,0.00,,74,52,,,,,,,71,60,0.15,365,,,,
DAVIS.C,20170320,800,0.00,,66,52,,,,,,,66,60,0.12,212,,,,
DAVIS.C,20170321,800,0.95,,67,58,,,,,,,66,61,0.11,449,,,,
DAVIS.C,20170322,800,1.38,,64,50,,,,,,,66,59,0.10,381,,,,
DAVIS.C,20170323,800,0.00,,69,41,,,,,,,65,55,0.12,496,,,,
DAVIS.C,20170324,2359,0.05,,56,51,,,,,,,59,55,0.10,117,,,,
DAVIS.C,20170325,2359,0.18,,65,48,,,,,,,59,57,0.18,437,,,,
DAVIS.C,20170326,2359,0.00,,63,47,,,,,,,62,56,0.13,309,,,,
DAVIS.C,20170327,2359,0.00,,66,45,,,,,,,62,56,0.22,550,,,,
DAVIS.C,20170328,2359,0.00,,72,50,,,,,,,63,57,0.25,550,,,,
DAVIS.C,20170329,2359,0.00,,77,48,,,,,,,62,57,0.27,524,,,,
DAVIS.C,20170330,2359,0.02,,70,44,,,,,,,63,57,0.24,464,,,,
DAVIS.C,20170331,2359,0.00,,71,51,,,,,,,69,59,1.58,578,,,,
DAVIS.C,20170401,2359,0.00,,77,54,,,,,,,74,59,0.46,555,,,,
DAVIS.C,20170402,820,0.00,,82,49,,,,,,,75,60,0.22,572,,,,
DAVIS.C,20170403,800,0.00,,77,48,,,,,,,74,62,0.35,600,,,,
DAVIS.C,20170404,800,0.00,,76,50,,,,,,,75,62,0.43,503,,,,
DAVIS.C,20170405,800,0.00,,75,49,,,,,,,74,63,0.18,423,,,,
DAVIS.C,20170406,800,0.00,,62,53,,,,,,,67,64,0.19,159,,,,
DAVIS.C,20170407,800,1.10,,63,52,,,,,,,63,59,0.21,265,,,,
DAVIS.C,20170408,820,0.71,,59,44,,,,,,,63,56,0.12,417,,,,
DAVIS.C,20170409,820,0.07,,63,40,,,,,,,66,55,0.11,573,,,,
DAVIS.C,20170410,800,0.00,,74,41,,,,,,,67,56,0.14,544,,,,
DAVIS.C,20170411,800,0.00,,66,47,,,,,,,64,55,0.08,229,,,,
DAVIS.C,20170412,800,0.01,,67,52,,,,,,,64,58,0.14,326,,,,
DAVIS.C,20170413,800,0.09,,63,48,,,,,,,64,57,0.25,431,,,,
