,Value
YYYY-02-DD 08:02:SS,203.6027832
YYYY-04-DD 08:04:SS,196.2232513
YYYY-06-DD 08:06:SS,195.3623047
YYYY-08-DD 08:08:SS,195.213913
YYYY-10-DD 08:10:SS,197.6486664
YYYY-12-DD 08:12:SS,196.3040314
YYYY-14-DD 08:14:SS,196.3862457
YYYY-16-DD 08:16:SS,196.1878204
YYYY-18-DD 08:18:SS,198.2474213
YYYY-20-DD 08:20:SS,196.4985199
YYYY-22-DD 08:22:SS,197.9811096
YYYY-24-DD 08:24:SS,197.8074341
YYYY-26-DD 08:26:SS,199.7636414
YYYY-28-DD 08:28:SS,198.2200775
YYYY-30-DD 08:30:SS,196.2179871
YYYY-32-DD 08:32:SS,195.6210632
YYYY-34-DD 08:34:SS,194.5128784
YYYY-36-DD 08:36:SS,194.2840424
YYYY-38-DD 08:38:SS,195.1776428
YYYY-40-DD 08:40:SS,197.4922028
YYYY-42-DD 08:42:SS,197.6540833
YYYY-44-DD 08:44:SS,196.2595367
YYYY-46-DD 08:46:SS,195.3388367
YYYY-48-DD 08:48:SS,196.1439819
YYYY-50-DD 08:50:SS,195.1129456
YYYY-52-DD 08:52:SS,194.8507233
YYYY-54-DD 08:54:SS,194.9981537
YYYY-56-DD 08:56:SS,198.253067
YYYY-58-DD 08:58:SS,197.7655334
YYYY-00-DD 09:00:SS,198.1249847
YYYY-02-DD 09:02:SS,204.6039886
YYYY-04-DD 09:04:SS,195.4953461
YYYY-06-DD 09:06:SS,196.4643707
YYYY-08-DD 09:08:SS,196.2844543
YYYY-10-DD 09:10:SS,198.6910553
YYYY-12-DD 09:12:SS,195.7390289
YYYY-14-DD 09:14:SS,197.795578
YYYY-16-DD 09:16:SS,197.741333
YYYY-18-DD 09:18:SS,198.0261383
YYYY-20-DD 09:20:SS,196.4782257
YYYY-22-DD 09:22:SS,196.0189819
YYYY-24-DD 09:24:SS,196.3383789
YYYY-26-DD 09:26:SS,196.8409882
YYYY-28-DD 09:28:SS,195.8168945
YYYY-30-DD 09:30:SS,196.8616943
YYYY-32-DD 09:32:SS,197.6628418
YYYY-34-DD 09:34:SS,197.0184479
YYYY-36-DD 09:36:SS,194.3911438
YYYY-38-DD 09:38:SS,195.8422852
YYYY-40-DD 09:40:SS,198.1284485
YYYY-42-DD 09:42:SS,196.1722107
YYYY-44-DD 09:44:SS,196.0786133
YYYY-46-DD 09:46:SS,196.3761597
YYYY-48-DD 09:48:SS,199.0617981
YYYY-50-DD 09:50:SS,197.1270294
YYYY-52-DD 09:52:SS,197.1231842
YYYY-54-DD 09:54:SS,196.7215576
YYYY-56-DD 09:56:SS,195.8491058
YYYY-58-DD 09:58:SS,195.367981
YYYY-00-DD 10:00:SS,195.4923096
YYYY-02-DD 10:02:SS,198.8328857
YYYY-04-DD 10:04:SS,198.0240936
YYYY-06-DD 10:06:SS,198.4755859
YYYY-08-DD 10:08:SS,197.5831604
YYYY-10-DD 10:10:SS,197.5180511
YYYY-12-DD 10:12:SS,196.3162842
YYYY-14-DD 10:14:SS,195.7062683
YYYY-16-DD 10:16:SS,196.0041351
YYYY-18-DD 10:18:SS,197.1643677
YYYY-20-DD 10:20:SS,195.3092041
YYYY-22-DD 10:22:SS,204.1619263
YYYY-24-DD 10:24:SS,196.2311401
YYYY-26-DD 10:26:SS,196.6778717
YYYY-28-DD 10:28:SS,196.7765961
YYYY-30-DD 10:30:SS,195.2070923
YYYY-32-DD 10:32:SS,196.6694946
YYYY-34-DD 10:34:SS,195.3295898
YYYY-36-DD 10:36:SS,195.4520264
YYYY-38-DD 10:38:SS,195.724762
YYYY-40-DD 10:40:SS,197.8020477
YYYY-42-DD 10:42:SS,195.559967
YYYY-44-DD 10:44:SS,194.8423462
YYYY-46-DD 10:46:SS,194.2058563
YYYY-48-DD 10:48:SS,197.1032867
YYYY-50-DD 10:50:SS,195.8378754
YYYY-52-DD 10:52:SS,195.7261658
YYYY-54-DD 10:54:SS,195.8564911
YYYY-56-DD 10:56:SS,198.6503754
YYYY-58-DD 10:58:SS,196.4787598
YYYY-00-DD 11:00:SS,203.1043396
YYYY-02-DD 11:02:SS,196.9750214
YYYY-04-DD 11:04:SS,196.8098297
YYYY-06-DD 11:06:SS,197.2780762
YYYY-08-DD 11:08:SS,195.5162201
YYYY-10-DD 11:10:SS,197.069397
YYYY-12-DD 11:12:SS,195.7612915
YYYY-14-DD 11:14:SS,196.9230499
YYYY-16-DD 11:16:SS,197.0166626
YYYY-18-DD 11:18:SS,196.0193329
YYYY-20-DD 11:20:SS,195.904892
YYYY-22-DD 11:22:SS,196.0430145
YYYY-24-DD 11:24:SS,196.3153076
YYYY-26-DD 11:26:SS,196.0192261
YYYY-28-DD 11:28:SS,196.2384338
YYYY-30-DD 11:30:SS,197.8970947
YYYY-32-DD 11:32:SS,196.7382507
YYYY-34-DD 11:34:SS,196.7094116
YYYY-36-DD 11:36:SS,194.6021576
YYYY-38-DD 11:38:SS,194.5492401
YYYY-40-DD 11:40:SS,194.0820007
YYYY-42-DD 11:42:SS,194.7533112
YYYY-44-DD 11:44:SS,194.975708
YYYY-46-DD 11:46:SS,194.0359497
YYYY-48-DD 11:48:SS,196.3885651
YYYY-50-DD 11:50:SS,199.5866394
YYYY-52-DD 11:52:SS,198.5821686
YYYY-54-DD 11:54:SS,197.7081757
YYYY-56-DD 11:56:SS,197.1038055
YYYY-58-DD 11:58:SS,197.4209595
YYYY-00-DD 12:00:SS,196.4792938
YYYY-02-DD 12:02:SS,198.3248444
YYYY-04-DD 12:04:SS,196.7236023
YYYY-06-DD 12:06:SS,195.637146
YYYY-08-DD 12:08:SS,197.1780243
YYYY-10-DD 12:10:SS,195.6221619
YYYY-12-DD 12:12:SS,195.1708221
YYYY-14-DD 12:14:SS,196.4844208
YYYY-16-DD 12:16:SS,198.543869
YYYY-18-DD 12:18:SS,198.6923523
YYYY-20-DD 12:20:SS,198.0865631
YYYY-22-DD 12:22:SS,197.9188843
YYYY-24-DD 12:24:SS,197.9152069
YYYY-26-DD 12:26:SS,197.9139099
YYYY-28-DD 12:28:SS,197.3260498
YYYY-30-DD 12:30:SS,199.6352844
YYYY-32-DD 12:32:SS,198.6877289
YYYY-34-DD 12:34:SS,199.2706757
YYYY-36-DD 12:36:SS,198.7341156
YYYY-38-DD 12:38:SS,197.6800232
YYYY-40-DD 12:40:SS,206.0407562
YYYY-42-DD 12:42:SS,195.8339233
YYYY-44-DD 12:44:SS,195.7493896
YYYY-46-DD 12:46:SS,195.3867493
YYYY-48-DD 12:48:SS,195.3362274
YYYY-50-DD 12:50:SS,195.4495392
YYYY-52-DD 12:52:SS,196.7186584
YYYY-54-DD 12:54:SS,197.8453522
YYYY-56-DD 12:56:SS,201.3048859
YYYY-58-DD 12:58:SS,200.3808289
YYYY-00-DD 13:00:SS,204.039444
YYYY-02-DD 13:02:SS,204.8765106
YYYY-04-DD 13:04:SS,201.1090546
YYYY-06-DD 13:06:SS,209.9233398
YYYY-08-DD 13:08:SS,208.1407471
YYYY-10-DD 13:10:SS,206.1655426
YYYY-12-DD 13:12:SS,208.2944641
YYYY-14-DD 13:14:SS,204.4958801
YYYY-16-DD 13:16:SS,204.6901703
YYYY-18-DD 13:18:SS,202.9279327
YYYY-20-DD 13:20:SS,206.1762085
YYYY-22-DD 13:22:SS,202.7579651
YYYY-24-DD 13:24:SS,202.9272308
YYYY-26-DD 13:26:SS,199.7666321
YYYY-28-DD 13:28:SS,197.0291138
YYYY-30-DD 13:30:SS,196.732666
YYYY-32-DD 13:32:SS,195.5836029
YYYY-34-DD 13:34:SS,197.2144775
YYYY-36-DD 13:36:SS,197.4188385
YYYY-38-DD 13:38:SS,196.8974915
YYYY-40-DD 13:40:SS,195.4204254
YYYY-42-DD 13:42:SS,197.3048401
YYYY-44-DD 13:44:SS,195.7717743
YYYY-46-DD 13:46:SS,195.5017395
YYYY-48-DD 13:48:SS,194.5819244
YYYY-50-DD 13:50:SS,196.0726929
YYYY-52-DD 13:52:SS,196.1117554
YYYY-54-DD 13:54:SS,196.941803
YYYY-56-DD 13:56:SS,196.8401947
YYYY-58-DD 13:58:SS,196.3702087
YYYY-00-DD 14:00:SS,196.449295
YYYY-02-DD 14:02:SS,197.033371
YYYY-04-DD 14:04:SS,195.9620972
YYYY-06-DD 14:06:SS,195.7277985
YYYY-08-DD 14:08:SS,196.0183105
YYYY-10-DD 14:10:SS,196.1505585
YYYY-12-DD 14:12:SS,195.3489075
YYYY-14-DD 14:14:SS,194.9609985
YYYY-16-DD 14:16:SS,197.2268677
YYYY-18-DD 14:18:SS,198.4532928
YYYY-20-DD 14:20:SS,201.4705048
YYYY-22-DD 14:22:SS,199.8353577
YYYY-24-DD 14:24:SS,198.5393524
YYYY-26-DD 14:26:SS,198.0340881
YYYY-28-DD 14:28:SS,197.8242645
YYYY-30-DD 14:30:SS,198.636673
YYYY-32-DD 14:32:SS,197.7363129
YYYY-34-DD 14:34:SS,199.6652985
YYYY-36-DD 14:36:SS,198.5842438
YYYY-38-DD 14:38:SS,198.8129272
YYYY-40-DD 14:40:SS,198.5072479
YYYY-42-DD 14:42:SS,199.0899048
YYYY-44-DD 14:44:SS,196.9103546
YYYY-46-DD 14:46:SS,197.2458649
YYYY-48-DD 14:48:SS,197.0551453
YYYY-50-DD 14:50:SS,198.6519928
YYYY-52-DD 14:52:SS,198.825531
YYYY-54-DD 14:54:SS,197.8561707
YYYY-56-DD 14:56:SS,196.6140137
YYYY-58-DD 14:58:SS,196.2484741
YYYY-00-DD 15:00:SS,196.5716248
YYYY-02-DD 15:02:SS,202.9312897
YYYY-04-DD 15:04:SS,195.7667236
YYYY-06-DD 15:06:SS,194.9481506
YYYY-08-DD 15:08:SS,198.2533264
YYYY-10-DD 15:10:SS,196.2772675
YYYY-12-DD 15:12:SS,197.6271515
YYYY-14-DD 15:14:SS,194.7438965
YYYY-16-DD 15:16:SS,195.2373352
YYYY-18-DD 15:18:SS,195.1571045
YYYY-20-DD 15:20:SS,197.0506897
YYYY-22-DD 15:22:SS,197.0654907
YYYY-24-DD 15:24:SS,191.3222198
YYYY-26-DD 15:26:SS,192.2360077
YYYY-28-DD 15:28:SS,192.9738464
YYYY-30-DD 15:30:SS,192.1780701
YYYY-32-DD 15:32:SS,190.1777802
YYYY-34-DD 15:34:SS,190.9349823
YYYY-36-DD 15:36:SS,189.358139
YYYY-38-DD 15:38:SS,188.3327789
YYYY-40-DD 15:40:SS,189.8526459
YYYY-42-DD 15:42:SS,190.4001617
YYYY-44-DD 15:44:SS,192.3823395
YYYY-46-DD 15:46:SS,190.3878632
YYYY-48-DD 15:48:SS,184.511795
YYYY-50-DD 15:50:SS,184.8768005
YYYY-52-DD 15:52:SS,183.522049
YYYY-54-DD 15:54:SS,183.6166992
YYYY-56-DD 15:56:SS,183.1986694
YYYY-58-DD 15:58:SS,184.5073242
YYYY-00-DD 16:00:SS,184.5345917
YYYY-02-DD 16:02:SS,184.597641
YYYY-04-DD 16:04:SS,184.2485809
YYYY-06-DD 16:06:SS,185.1803436
YYYY-08-DD 16:08:SS,183.6037292
YYYY-10-DD 16:10:SS,183.866806
YYYY-12-DD 16:12:SS,183.3999481
YYYY-14-DD 16:14:SS,182.9292603
YYYY-16-DD 16:16:SS,182.6182709
YYYY-18-DD 16:18:SS,182.6694183
YYYY-20-DD 16:20:SS,182.7673035
YYYY-22-DD 16:22:SS,191.540451
YYYY-24-DD 16:24:SS,183.8769226
YYYY-26-DD 16:26:SS,183.3331909
YYYY-28-DD 16:28:SS,186.8600159
YYYY-30-DD 16:30:SS,184.665802
YYYY-32-DD 16:32:SS,184.2080994
YYYY-34-DD 16:34:SS,184.5599213
YYYY-36-DD 16:36:SS,183.9113312
YYYY-38-DD 16:38:SS,182.0824738
YYYY-40-DD 16:40:SS,183.7002106
YYYY-42-DD 16:42:SS,182.1582947
YYYY-44-DD 16:44:SS,185.3080597
YYYY-46-DD 16:46:SS,184.812027
YYYY-48-DD 16:48:SS,186.0245056
YYYY-50-DD 16:50:SS,184.9102783
YYYY-52-DD 16:52:SS,184.511734
YYYY-54-DD 16:54:SS,183.6183014
YYYY-56-DD 16:56:SS,184.4678497
YYYY-58-DD 16:58:SS,189.2204285
YYYY-00-DD 17:00:SS,182.0179749
YYYY-02-DD 17:02:SS,186.5920258
YYYY-04-DD 17:04:SS,185.2279663
YYYY-06-DD 17:06:SS,188.0216217
YYYY-08-DD 17:08:SS,186.0940552
YYYY-10-DD 17:10:SS,185.7481079
YYYY-12-DD 17:12:SS,186.3497009
YYYY-14-DD 17:14:SS,187.8067169
YYYY-16-DD 17:16:SS,185.6719055
YYYY-18-DD 17:18:SS,185.649704
YYYY-20-DD 17:20:SS,186.6841583
YYYY-22-DD 17:22:SS,187.7565765
YYYY-24-DD 17:24:SS,186.2960815
YYYY-26-DD 17:26:SS,185.3380585
YYYY-28-DD 17:28:SS,185.0151825
YYYY-30-DD 17:30:SS,186.9374542
YYYY-32-DD 17:32:SS,186.3080292
YYYY-34-DD 17:34:SS,185.7841339
YYYY-36-DD 17:36:SS,186.7986603
YYYY-38-DD 17:38:SS,185.6375275
YYYY-40-DD 17:40:SS,187.4297791
YYYY-42-DD 17:42:SS,183.3239746
YYYY-44-DD 17:44:SS,185.7266235
YYYY-46-DD 17:46:SS,185.076355
YYYY-48-DD 17:48:SS,184.8104401
YYYY-50-DD 17:50:SS,183.59375
YYYY-52-DD 17:52:SS,183.8450623
YYYY-54-DD 17:54:SS,184.1974792
YYYY-56-DD 17:56:SS,183.1322021
YYYY-58-DD 17:58:SS,183.1461182
YYYY-00-DD 18:00:SS,182.6986237
YYYY-02-DD 18:02:SS,180.749176
YYYY-04-DD 18:04:SS,181.9155731
YYYY-06-DD 18:06:SS,182.740799
YYYY-08-DD 18:08:SS,181.9821472
YYYY-10-DD 18:10:SS,183.1797028
YYYY-12-DD 18:12:SS,184.1777039
YYYY-14-DD 18:14:SS,184.6589508
YYYY-16-DD 18:16:SS,183.4501648
YYYY-18-DD 18:18:SS,182.9711304
YYYY-20-DD 18:20:SS,182.346756
YYYY-22-DD 18:22:SS,182.1851349
YYYY-24-DD 18:24:SS,184.3867798
YYYY-26-DD 18:26:SS,183.5672455
YYYY-28-DD 18:28:SS,183.2967224
YYYY-30-DD 18:30:SS,183.9091797
YYYY-32-DD 18:32:SS,183.0612183
YYYY-34-DD 18:34:SS,189.1985931
YYYY-36-DD 18:36:SS,182.5341187
YYYY-38-DD 18:38:SS,184.0787201
YYYY-40-DD 18:40:SS,183.0867615
YYYY-42-DD 18:42:SS,183.3638458
YYYY-44-DD 18:44:SS,184.9300385
YYYY-46-DD 18:46:SS,185.9014435
YYYY-48-DD 18:48:SS,183.9353485
YYYY-50-DD 18:50:SS,182.8743591
YYYY-52-DD 18:52:SS,183.4925537
YYYY-54-DD 18:54:SS,184.3368378
YYYY-56-DD 18:56:SS,183.3223267
