"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","432120","2131586","3162159"
"11/30/2019, 11:59:00 PM","839280","2091215","2394662"
"10/31/2019, 11:59:00 PM","1606560","2223150","1712950"
"9/30/2019, 11:59:00 PM","2687393","2196052","1221059"
"8/31/2019, 11:59:00 PM","3459960","2336176","1076868"
"7/31/2019, 11:59:00 PM","3234360","2104249","1123411"
"6/30/2019, 11:59:00 PM","2972964","2049165","1029413"
"5/31/2019, 11:59:00 PM","1427400","2062308","1601613"
"4/30/2019, 11:59:00 PM","1396680","1927719","1490276"
"3/31/2019, 11:59:00 PM","586080","1167245","2334431"
"2/28/2019, 11:59:00 PM","328680","1793647","2935834"
"1/31/2019, 11:59:00 PM","354960","1862856","2832710"
"12/31/2018, 11:59:00 PM","295440","23093610","3047171"
"11/30/2018, 11:59:00 PM","689797","1916118","2176551"
"10/31/2018, 11:59:00 PM","1666320","2005335","1353386"
"9/30/2018, 11:59:00 PM","2058240","1925180","1162652"
"8/31/2018, 11:59:00 PM","2425680","2077812","1028500"
"7/31/2018, 11:59:00 PM","3041760","2074673","867883"
"6/30/2018, 11:59:00 PM","2318861","1932871","965531"
"5/31/2018, 11:59:00 PM","1491480","1927507","1269427"
"4/30/2018, 11:59:00 PM","912385","1981075","1664582"
"3/31/2018, 11:59:00 PM","596160","2108848","2475884"
"2/28/2018, 11:59:00 PM","476880","1891592","2433904"
"1/31/2018, 11:59:00 PM","439800","2131790","3008842"
"12/31/2017, 11:59:00 PM","497400","2092825","3376620"
"11/30/2017, 11:59:00 PM","613920","2434244","2171075"
"10/31/2017, 11:59:00 PM","1182156","1796022","1120673"
"9/30/2017, 11:59:00 PM","2695053","2143562","976482"
"8/31/2017, 11:59:00 PM","3043896","2207018","881572"
"7/31/2017, 11:59:00 PM","3108480","2199655","881572"
"6/30/2017, 11:59:00 PM","2741520","2049582","1015724"
"5/31/2017, 11:59:00 PM","1850160","2109790","1247524"
"4/30/2017, 11:59:00 PM","816960","2035545","1621690"
"3/31/2017, 11:59:00 PM","694320","2139897","1909159"
"2/28/2017, 11:59:00 PM","266760","1896471","2143697"
"1/31/2017, 11:59:00 PM","209782","2085237","3328417"
"12/31/2016, 11:59:00 PM","216360","2037005","3403998"
"11/30/2016, 11:59:00 PM","562320","2034425","2045137"
"10/31/2016, 11:59:00 PM","1065960","2145547","625131"
"9/30/2016, 11:59:00 PM","2073281","2140477","936328"
"8/31/2016, 11:59:00 PM","2331720","2233174","1048577"
"7/31/2016, 11:59:00 PM","2663645","2215589","1022112"
"6/30/2016, 11:59:00 PM","2480571","2129422","1012986"
"5/31/2016, 11:59:00 PM","1680000","1973044","1263951"
"10/31/2013, 11:59:00 PM","1117283","2138676","1479325"
"9/30/2013, 11:59:00 PM","2025303","2087332","985608"
"8/31/2013, 11:59:00 PM","2756581","2178344","1108809"
"7/31/2013, 11:59:00 PM","4137672","2381214","1098770"
"6/30/2013, 11:59:00 PM","2251172","1652247","991084"
"5/31/2013, 11:59:00 PM","2080775","","1390802"
"4/30/2013, 11:59:00 PM","1406749","","1417268"
"3/31/2013, 11:59:00 PM","773577","2081426","2092592"
"2/28/2013, 11:59:00 PM","328733","1887215","2730499"
